,Unnamed: 0,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,sector,industry
0,0,A.US,D,19991118,0,29.5594,32.4842,25.9889,28.5858,68866780.626131,0,Healthcare,Diagnostics & Research
1,1,A.US,D,19991119,0,27.8972,27.9371,25.8613,26.2311,16773577.957791,0,Healthcare,Diagnostics & Research
2,2,A.US,D,19991122,0,26.837,28.5858,26.0278,28.5858,7242575.5243932,0,Healthcare,Diagnostics & Research
3,3,A.US,D,19991123,0,27.6102,28.3377,25.9889,25.9889,6579458.4204133,0,Healthcare,Diagnostics & Research
4,4,A.US,D,19991124,0,26.0637,27.2445,25.9889,26.6745,5332647.6187614,0,Healthcare,Diagnostics & Research
5,5,A.US,D,19991126,0,26.5569,26.9585,26.4752,26.7622,1904229.000767,0,Healthcare,Diagnostics & Research
6,6,A.US,D,19991129,0,26.6356,27.5724,26.3506,27.363,4486512.2773595,0,Healthcare,Diagnostics & Research
7,7,A.US,D,19991130,0,27.2844,27.8972,26.5958,27.411,4745571.1057524,0,Healthcare,Diagnostics & Research
8,8,A.US,D,19991201,0,27.411,28.2221,27.2096,27.8972,3256172.003185,0,Healthcare,Diagnostics & Research
9,9,A.US,D,19991202,0,28.4204,29.2325,28.0596,28.6655,3380082.7929164,0,Healthcare,Diagnostics & Research
10,10,A.US,D,19991203,0,29.1957,29.6819,28.7851,28.9087,3348990.1941616,0,Healthcare,Diagnostics & Research
11,11,A.US,D,19991206,0,29.3969,30.1683,29.3571,29.7219,2478222.8191606,0,Healthcare,Diagnostics & Research
12,12,A.US,D,19991207,0,29.7219,29.8833,28.7851,29.3969,2439896.9564044,0,Healthcare,Diagnostics & Research
13,13,A.US,D,19991208,0,29.3969,29.6371,29.1109,29.3571,2078636.1618299,0,Healthcare,Diagnostics & Research
14,14,A.US,D,19991209,0,29.3969,29.8463,29.3969,29.7627,2234094.1380784,0,Healthcare,Diagnostics & Research
15,15,A.US,D,19991210,0,29.6819,29.8463,29.0731,29.0731,1832960.0760459,0,Healthcare,Diagnostics & Research
