<TICKER>,<SECTOR>,<INDUSTRY>
ALT.US,Healthcare,Biotechnology
NBSE.US,Healthcare,Biotechnology
NMM.US,Industrials,Marine Shipping
TAP.US,Consumer Defensive,Beverages—Brewers
XNCR.US,Healthcare,Biotechnology
CYBR.US,Technology,Software—Infrastructure
EJH.US,Consumer Cyclical,Personal Services
PXD.US,Energy,Oil & Gas E&P
XIN.US,Real Estate,Real Estate—Development
NOVT.US,Technology,Scientific & Technical Instruments
TCRR.US,Healthcare,Biotechnology
VRE.US,Real Estate,REIT—Residential
NRXPW.US,Healthcare,Biotechnology
RELI.US,Financial Services,Insurance Brokers
CAG.US,Consumer Defensive,Packaged Foods
CODI_A.US,NA,NA
SNV_E.US,NA,NA
ITOS.US,Healthcare,Biotechnology
BAP.US,Financial Services,Banks—Regional
MX.US,Technology,Semiconductors
UFPT.US,Healthcare,Medical Devices
NVTA.US,Healthcare,Diagnostics & Research
SBSW.US,Basic Materials,Gold
MEG.US,Industrials,Waste Management
IVA.US,Healthcare,Biotechnology
BRC.US,Industrials,Security & Protection Services
OWL.US,Financial Services,Asset Management
GLG.US,Basic Materials,Other Industrial Metals & Mining
VNO_L.US,NA,NA
F_B.US,NA,NA
AGRX.US,Healthcare,Drug Manufacturers—Specialty & Generic
FFBC.US,Financial Services,Banks—Regional
PTON.US,Consumer Cyclical,Leisure
IEP.US,Energy,Oil & Gas Refining & Marketing
CCB.US,Financial Services,Banks—Regional
BPYPN.US,Real Estate,Real Estate Services
USX.US,Industrials,Trucking
NAUT.US,Healthcare,Biotechnology
COHU.US,Technology,Semiconductor Equipment & Materials
VVV.US,Energy,Oil & Gas Refining & Marketing
AAM_A.US,NA,NA
AMRK.US,Financial Services,Capital Markets
CNP.US,Utilities,Utilities—Regulated Electric
RMR.US,Real Estate,Real Estate Services
POST.US,Consumer Defensive,Packaged Foods
RF_C.US,NA,NA
GO.US,Consumer Defensive,Grocery Stores
DAN.US,Consumer Cyclical,Auto Parts
TBIO.US,Healthcare,Medical Devices
CRM.US,Technology,Software—Application
FWBI.US,Healthcare,Biotechnology
IDA.US,Utilities,Utilities—Regulated Electric
FUTU.US,Financial Services,Capital Markets
PRAX.US,Healthcare,Biotechnology
EIGR.US,Healthcare,Biotechnology
GPCR.US,Healthcare,Biotechnology
IPG.US,Communication Services,Advertising Agencies
CDLX.US,Communication Services,Advertising Agencies
SD.US,Energy,Oil & Gas E&P
QTWO.US,Technology,Software—Application
VEON.US,Communication Services,Telecom Services
ABCL.US,Healthcare,Biotechnology
MNTK.US,Utilities,Utilities—Diversified
RBC.US,Industrials,Tools & Accessories
CHKEZ.US,NA,NA
CNMD.US,Healthcare,Medical Devices
CFG.US,Financial Services,Banks—Regional
CAR.US,Industrials,Rental & Leasing Services
AUB.US,Financial Services,Banks—Regional
FRC.US,Financial Services,Banks—Regional
NNDM.US,Technology,Computer Hardware
OAK_B.US,NA,NA
SCE_H.US,NA,NA
NOW.US,Technology,Software—Application
CC.US,Basic Materials,Specialty Chemicals
NVR.US,Consumer Cyclical,Residential Construction
EPC.US,Consumer Defensive,Household & Personal Products
ONTX.US,Healthcare,Biotechnology
RAD.US,Healthcare,Pharmaceutical Retailers
IONQ.US,Technology,Computer Hardware
TRN.US,Industrials,Railroads
BHF.US,Financial Services,Insurance—Life
DVN.US,Energy,Oil & Gas E&P
